File_Name,File_Path,File_Description,Standard,UTC_Offset,Date_Start,Date_End
TEMPESTX_20231024_concentrations.csv,concentrations,Measured gas concentration data,,-5,20231024,20231024
TEMPESTX_20231114_concentrations.csv,concentrations,Measured gas concentration data,,-5,20231114,20231114
TEMPESTX_20231130_concentrations.csv,concentrations,Measured gas concentration data,,-5,20231130,20231130
TEMPESTX_20231211_concentrations.csv,concentrations,Measured gas concentration data,,-5,20231211,20231211
TEMPESTX_20231228_concentrations.csv,concentrations,Measured gas concentration data,,-5,20231228,20231228
TEMPESTX_20240108_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240108,20240108
TEMPESTX_20240130_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240130,20240130
TEMPESTX_20240216_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240216,20240216
TEMPESTX_20240301_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240301,20240301
TEMPESTX_20240320a_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240320,20240320
TEMPESTX_20240401_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240401,20240401
TEMPESTX_20240422_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240422,20240422
TEMPESTX_20240610_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240610,20240610
TEMPESTX_20240611a_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240611,20240611
TEMPESTX_20240611b_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240611,20240611
TEMPESTX_20240613_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240613,20240613
TEMPESTX_20240613b_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240613,20240613
TEMPESTX_20240614a_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240614,20240614
TEMPESTX_20240614b_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240614,20240614
TEMPESTX_20240617_concentrations.csv,concentrations,Measured gas concentration data,,-5,20240617,20240617
flmd.csv,,Soil respiration flux data,Soil respiration,-5,,
README.md,,Soil respiration flux data,Soil respiration,-5,,
TEMPEST_20240612a_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20240612,20240612
TEMPEST_20240612b_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20240612,20240612
TEMPESTX_20200415_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200415,20200415
TEMPESTX_20200507_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200507,20200507
TEMPESTX_20200521_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200521,20200521
TEMPESTX_20200603_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200603,20200603
TEMPESTX_20200619_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200619,20200619
TEMPESTX_20200708_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200708,20200708
TEMPESTX_20200825_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200825,20200825
TEMPESTX_20200911_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200911,20200911
TEMPESTX_20200916_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20200916,20200916
TEMPESTX_20201008_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20201008,20201008
TEMPESTX_20201015_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20201015,20201015
TEMPESTX_20201028a_fluxes.csv,,Soil respiration flux data,Soil respiration,-5,20201028,20201028
